region,country_code,menu_split_store_id,creation_date,mother_brand_store_id,store_segment,tags
EEMEA,KZ,231405,2020-10-29,147598,Long Tail,Turkish
EEMEA,UA,311975,2021-05-27,216498,Long Tail,Sweets
SWE,PL,246038,2020-12-07,117980,Long Tail,Polish
SWE,IT,292770,2021-04-15,288500,Long Tail,Food
SWE,ES,300967,2021-05-03,298416,Long Tail,Food
EEMEA,UA,291289,2021-04-12,164417,Long Tail,Qcommerce
SWE,PT,228171,2020-10-21,188441,Long Tail,Pizza
EEMEA,KE,280956,2021-03-16,280923,Long Tail,Food
EEMEA,MA,265737,2021-02-05,258514,Long Tail,Burger
SWE,ES,304914,2021-05-12,257717,Long Tail,Food
EEMEA,BG,310757,2021-05-27,310599,Long Tail,Food
SWE,ES,257741,2021-01-16,257710,Long Tail,Chicken
EEMEA,RO,245525,2020-12-05,221885,Long Tail,Burger
SWE,IT,228094,2020-10-21,78460,Long Tail,Food
SWE,PL,270356,2021-02-18,248648,Long Tail,Food
SWE,ES,225876,2020-10-13,159867,Long Tail,Burger
SWE,ES,217680,2020-09-15,206199,Long Tail,Snacks
SWE,PL,227955,2020-10-21,137433,Long Tail,Mexican
EEMEA,UA,291338,2021-04-12,164415,Long Tail,Qcommerce
EEMEA,UA,307107,2021-05-19,307046,Long Tail,Groceries
SWE,IT,263733,2021-02-01,258053,Long Tail,French
EEMEA,KE,226703,2020-10-16,94280,Long Tail,Pizza
SWE,IT,273913,2021-02-25,268264,Long Tail,Italian
LATAM,EC,232025,2020-10-31,140578,Long Tail,Healthy
EEMEA,UG,287019,2021-03-31,275686,Long Tail,Food
SWE,ES,220680,2020-09-28,23966,Long Tail,Healthy
SWE,IT,305120,2021-05-13,304841,Long Tail,Food
SWE,IT,260159,2021-01-22,257999,Long Tail,Chinese
SWE,IT,246265,2020-12-08,244446,Long Tail,Food
SWE,IT,299171,2021-04-28,298526,Long Tail,Food
SWE,ES,302289,2021-05-05,300349,Long Tail,Food
SWE,IT,302000,2021-05-05,111126,Long Tail,Food
SWE,PT,269852,2021-02-17,269840,Long Tail,Food
SWE,ES,296088,2021-04-21,257854,Long Tail,Food
SWE,PT,228431,2020-10-21,129277,Long Tail,Food
EEMEA,MA,298847,2021-04-27,275060,Long Tail,American
SWE,IT,285424,2021-03-26,285083,Long Tail,Food
SWE,PT,228419,2020-10-21,184581,Long Tail,Food
EEMEA,UA,297770,2021-04-24,45482,Long Tail,Qcommerce
SWE,IT,296554,2021-04-22,296452,Long Tail,Food
SWE,IT,309182,2021-05-24,254212,Long Tail,Food
SWE,IT,233562,2020-11-05,233516,Long Tail,Food
SWE,IT,279010,2021-03-10,277995,Long Tail,Italian
SWE,IT,248072,2020-12-12,74781,Long Tail,Food
EEMEA,RO,250910,2020-12-18,246742,Long Tail,Pizza
SWE,IT,297308,2021-04-23,297191,Long Tail,Food
SWE,IT,293262,2021-04-16,293029,Long Tail,Food
SWE,IT,284269,2021-03-24,207376,Long Tail,Qcommerce
SWE,ES,262544,2021-01-28,249183,Long Tail,Pizza
SWE,ES,261544,2021-01-26,172368,Long Tail,Grill
SWE,IT,300338,2021-04-30,284577,Long Tail,Food
SWE,IT,283144,2021-03-22,282426,Long Tail,Food
EEMEA,KZ,231518,2020-10-29,131308,Long Tail,Pizza
SWE,IT,279201,2021-03-10,279061,Long Tail,Italian
SWE,IT,300321,2021-04-30,299935,Long Tail,Food
EEMEA,MA,285554,2021-03-27,86881,Long Tail,Burger
EEMEA,MA,252082,2020-12-21,252073,Long Tail,Pizza
SWE,ES,270104,2021-02-17,267848,Long Tail,Mexican
SWE,PT,283669,2021-03-23,165812,Long Tail,Food
SWE,ES,305890,2021-05-14,305759,Long Tail,Food
SWE,ES,287768,2021-04-01,287303,Long Tail,Health
EEMEA,UA,311798,2021-05-27,191618,Long Tail,Qcommerce
SWE,PL,211207,2020-08-17,211169,Long Tail,Food
